Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.719800	0.000192	-0.000513	0.000541	0.000261	0.000200	0.000039	0.000447	0.000282	0.000142	0.000878	0.001120
9.719100	0.000272	0.000058	0.000148	0.000342	0.000814	-0.001009	0.001310	0.000333	-0.000146	0.000223	0.000381
9.718400	-0.000051	-0.000335	-0.000404	-0.000467	0.001600	-0.000306	0.000469	0.000349	-0.000094	-0.000094	-0.000152
9.717700	0.000969	0.000011	0.000203	0.000205	0.000601	0.000084	0.000895	0.000352	-0.000067	-0.000441	0.000357
9.717000	0.000736	-0.000143	0.000454	-0.000370	0.000179	0.000730	-0.000759	0.000243	-0.000240	-0.000119	0.000766
9.716300	0.000635	-0.000540	-0.000305	-0.000285	-0.000241	0.001193	-0.000629	-0.000223	-0.000354	-0.000754	-0.000088
9.715600	0.000030	-0.000165	-0.000561	0.000061	-0.000292	0.000523	-0.000023	0.000216	0.000058	-0.000418	-0.000128
9.714900	0.000084	0.000153	-0.001072	-0.000143	-0.000324	0.000558	0.000133	-0.000322	0.000243	0.000217	0.000084
9.714200	-0.000154	0.000107	-0.000520	-0.000127	-0.000349	0.000674	0.000440	0.000014	-0.000387	-0.000187	0.000158
9.713500	-0.000745	0.000244	0.000094	0.000588	-0.000490	-0.000496	-0.000544	-0.000525	-0.000087	0.000185	-0.000345
9.712800	-0.000356	0.000100	0.000143	0.000784	-0.000922	-0.000077	-0.000441	-0.000401	0.000170	-0.000690	-0.000378
9.712100	-0.000388	-0.000302	0.000194	0.000015	-0.000924	0.000007	-0.000242	-0.000163	-0.000058	0.000191	-0.000222
9.711400	-0.000180	0.000068	-0.000309	0.000340	-0.000371	0.000008	-0.000118	0.000202	0.000006	0.001014	-0.000738
9.710700	-0.000334	0.000178	-0.000389	-0.000744	-0.000342	0.000386	-0.000109	-0.000330	0.000075	0.000671	0.000120
9.710000	-0.000157	0.000188	-0.001269	-0.000525	0.000125	0.000143	-0.000708	-0.000341	-0.000241	-0.000008	0.000339
9.709300	0.000072	0.000053	-0.000427	-0.000279	0.000264	0.000217	-0.000792	-0.000016	0.000024	-0.000272	0.000485
9.708600	-0.000506	0.000256	-0.000599	-0.000522	-0.000505	0.000055	-0.000388	-0.000362	0.000094	-0.000399	0.000088
9.707900	-0.000394	-0.000233	0.000309	-0.000741	-0.000335	-0.001088	-0.000950	-0.000470	-0.000306	-0.000122	0.000192
9.707200	0.000109	-0.000514	0.000270	-0.000462	0.000919	-0.001448	-0.001228	-0.000413	-0.000212	-0.000274	-0.000459
9.706500	0.000214	0.000029	-0.000015	-0.000469	0.000031	-0.001193	-0.000342	-0.000494	-0.000203	-0.000729	-0.000244
9.705800	0.000113	-0.000094	-0.000594	-0.000386	-0.000257	-0.000483	0.000178	-0.000157	0.000227	-0.000222	-0.000170
9.705100	0.000220	-0.000734	-0.000515	0.000213	-0.000439	-0.000307	0.000250	-0.000442	0.000135	-0.000259	-0.001010
9.704400	-0.000107	-0.000668	0.000091	0.000935	-0.000047	-0.000677	0.000077	-0.000268	0.000438	-0.000288	-0.001028
9.703700	-0.000248	0.000233	-0.000320	0.000747	-0.000490	-0.000065	-0.000826	-0.000147	-0.000202	-0.000720	-0.001134
9.703000	0.000380	0.000253	0.000625	0.000038	-0.000405	-0.000302	0.000478	-0.000090	0.000425	-0.000644	-0.000648
